alerta_num,x,y,altitud,pendiente,dist_acequia,dist_rio,probabilidad,lat,lon
109,354355.9958760397,8553837.198317887,83.0,2.773938865193209,395.25987617657614,4815.198420870463,0.56,-13.078134944719134,-76.3433771982413
110,349005.9958760397,8550737.198317887,19.0,1.8500955407727733,132.32504092316515,1780.5782694064271,0.56,-13.105897482384854,-76.39287137169923
111,359505.9958760397,8548687.198317887,134.0,3.3327031799960194,218.0373924247546,618.2645012218222,0.56,-13.124935272108354,-76.29612742746261
112,350155.9958760397,8550287.198317887,29.0,1.3084424638581322,568.5969473040556,1149.8472176416187,0.56,-13.11002257953214,-76.38228788644736
113,349705.9958760397,8557537.198317887,75.0,3.3327031799960194,956.5925366823908,6106.309714277578,0.55,-13.044460278253691,-76.38607213450912
114,359905.9958760397,8548587.198317887,156.0,7.909695319659954,87.0477154994969,767.5523812938283,0.55,-13.125857855772018,-76.29244261603891
115,375255.9958760397,8564187.198317887,596.0,23.57496655051141,16253.34426690419,305.60420724797933,0.55,-12.985492749125092,-76.15019931026711
116,361655.9958760397,8550087.198317887,157.0,1.8500955407727733,441.5649990315085,457.9992071607733,0.55,-13.112377840680486,-76.27623080278005
117,349855.9958760397,8550237.198317887,23.0,0.9252889610151428,288.08643179197,1121.2522362622542,0.55,-13.110459720308064,-76.38505729986358
118,351955.9958760397,8550787.198317887,45.0,1.8500955407727733,226.75338802240177,1942.7214054582505,0.55,-13.10559107724054,-76.36566157681229
119,350655.9958760397,8550187.198317887,34.0,1.8500955407727733,770.0915425638188,1054.7417785880332,0.55,-13.110951278416474,-76.37768143630164
120,350355.9958760397,8551437.198317887,33.0,1.8500955407727733,1222.3307530053137,2293.1259248482093,0.55,-13.099636464594976,-76.38038534582957
121,342805.9958760397,8567137.198317887,358.0,24.18185067283602,7066.572765478846,5892.414241353926,0.55,-12.95732968068416,-76.44918893079398
122,354055.9958760397,8551037.198317887,87.0,12.928012423771891,354.8886372285895,2037.2598573969149,0.55,-13.103432937650144,-76.3462812173488
123,352605.9958760397,8551387.198317887,53.0,1.850095540772776,50.46841408661927,2674.9713532744586,0.54,-13.100198720950704,-76.35963693930084
124,345855.9958760397,8556737.198317887,30.0,3.332703179996018,799.0432592414691,3945.58568908866,0.54,-13.051499677835292,-76.42161211563896
125,352655.9958760397,8551437.198317887,55.0,1.8500955407727733,121.08629599977075,2726.709465672881,0.54,-13.099749147755606,-76.35917332566389
126,351805.9958760397,8551937.198317887,48.0,2.0682900365601222,265.6377620058759,3003.7183335916275,0.54,-13.09518767726002,-76.36698763768659
127,352655.9958760397,8550437.198317887,54.0,3.6963410627990174,574.0899388026767,1728.1631504043723,0.54,-13.108789232150771,-76.35922293969448
128,350355.9958760397,8551237.198317887,31.0,2.773938865193209,1300.8873617245088,2093.3101012645143,0.54,-13.101444465907925,-76.38039542035126
129,372105.9958760397,8561087.198317887,513.0,32.5089371286372,11834.460515003975,456.8647519782238,0.54,-13.013389095451908,-76.17937188010177
